SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1075	SEEDGWAS1075.MRG.4.250067774	G30267	CIMMYTMA-029497	2007-11-06	7	5	872	21.393081	-99.010927	5.15836789384316	CIMMYTMA
SEEDGWAS1076	SEEDGWAS1076.MRG.4.250067775	G30270	CIMMYTMA-029498	2007-11-06	7	5	872	21.393081	-99.010927	5.15836789384316	CIMMYTMA
SEEDGWAS1077	SEEDGWAS1077.MRG.4.250067776	G30273	CIMMYTMA-029503	2007-08-14	7	5	113	21.268107	-98.131208	4.58557881725143	CIMMYTMA
SEEDGWAS1078	SEEDGWAS1078.MRG.4.250067777	G30274	CIMMYTMA-029505	2007-08-14	7	5	113	21.268107	-98.131208	4.58557881725143	CIMMYTMA
SEEDGWAS1081	SEEDGWAS1081.MRG.4.250067778	G30285	CIMMYTMA-029543	2007-08-14	7	5	300	21.17	-97.98	4.42894128633221	CIMMYTMA
SEEDGWAS1082	SEEDGWAS1082.MRG.4.250067779	G30288	CIMMYTMA-029572	2007-08-16	7	5	112	21.331281	-98.197924	4.67273599364195	CIMMYTMA
SEEDGWAS1083	SEEDGWAS1083.MRG.4.250067780	G30297	CIMMYTMA-029574	2007-08-16	7	5	617	20.966983	-98.172081	4.34229062907586	CIMMYTMA
SEEDGWAS1084	SEEDGWAS1084.MRG.4.250067781	G30300	CIMMYTMA-029577	2007-08-16	7	5	72	20.862778	-97.875988	4.10807355987524	CIMMYTMA
SEEDGWAS1085	SEEDGWAS1085.MRG.4.250067782	G2853	CIMMYTMA-000328	1952-01-01	7	5	1554	20.55	-102.8	7.58802068248222	CIMMYTMA
SEEDGWAS1086	SEEDGWAS1086.MRG.4.250067783	G3314	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1087	SEEDGWAS1087.MRG.4.250067785	G3684	CIMMYTMA-000428	1952-01-13	7	5	1057	22.031961	-100.21527	6.41064326557055	CIMMYTMA
SEEDGWAS1088	SEEDGWAS1088.MRG.4.250067786	G3698	CIMMYTMA-000436	1952-01-14	7	5	1078	22.05427	-99.816363	6.17207596895153	CIMMYTMA
SEEDGWAS1089	SEEDGWAS1089.MRG.4.250067787	G5339	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1090	SEEDGWAS1090.MRG.4.250067788	G5499	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1091	SEEDGWAS1091.MRG.4.250067789	G5884	CIMMYTMA-000668	1952-02-02	7	5	1406	25.552339	-100.9672228	9.7119815295401	CIMMYTMA
SEEDGWAS1092	SEEDGWAS1092.MRG.4.250067790	G7945	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1094	SEEDGWAS1094.MRG.4.250067791	G8409	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1095	SEEDGWAS1095.MRG.4.250067792	G8647	CIMMYTMA-002036	1967-01-01	7	5	1051	18.75	-99.45	3.79063189689767	CIMMYTMA
SEEDGWAS1096	SEEDGWAS1096.MRG.4.250067793	G8692	CIMMYTMA-002049	1967-01-01	7	5	968	18.68	-99.3	3.62513771569826	CIMMYTMA
