SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS157	SEEDGWAS157.MRG.4.250056122	G11489	CIMMYTMA-003231	1959-07-02	8	6	22	20.385828	-97.030722	3.33775450883404	CIMMYTMA
SEEDGWAS158	SEEDGWAS158.MRG.4.250056123	G11496	CIMMYTMA-003234	1959-07-03	8	6	208	20.46666667	-97.33333333	3.51923269278975	CIMMYTMA
SEEDGWAS160	SEEDGWAS160.MRG.4.250056124	G11501	CIMMYTMA-003237	1959-07-03	8	6	14	20.433609	-97.114806	3.41012418851469	CIMMYTMA
SEEDGWAS1608	SEEDGWAS1608.MRG.4.250070556	G25458	CIMMYTMA-016311		7	5	904	18.61666667	-99.31666667	3.61539934606895	CIMMYTMA
SEEDGWAS1609	SEEDGWAS1609.MRG.4.250070557	G25484	CIMMYTMA-016361	1972-01-01	7	5	1713	18.98333333	-99.1	3.58255817963151	CIMMYTMA
SEEDGWAS162	SEEDGWAS162.MRG.4.250056125	G11503	CIMMYTMA-003239	1959-07-04	8	6	93	20.511547	-97.334715	3.5612452210321	CIMMYTMA
SEEDGWAS163	SEEDGWAS163.MRG.4.250056127	G11506	CIMMYTMA-003242	1959-07-04	8	6	58	20.5422222	-97.27305556	3.56688963524525	CIMMYTMA
SEEDGWAS1632	SEEDGWAS1632.MRG.4.250070570	G25843	CIMMYTMA-017832	1947-01-01	7	5	265	18.300591	-100.69796	4.83762327872944	CIMMYTMA
SEEDGWAS1633	SEEDGWAS1633.MRG.4.250070571	G25854	CIMMYTMA-017845	1952-02-04	7	5	302	19.08164	-102.373599	6.65684789081777	CIMMYTMA
SEEDGWAS1634	SEEDGWAS1634.MRG.4.250070572	G25859	CIMMYTMA-017857	1946-01-01	7	5	13	21.95	-105.2166667	10.375880324312	CIMMYTMA
SEEDGWAS164	SEEDGWAS164.MRG.4.250056128	G11510	CIMMYTMA-003245	1959-07-04	8	6	206	20.471501	-97.343051	3.52743212650222	CIMMYTMA
SEEDGWAS1641	SEEDGWAS1641.MRG.4.250070577	G25902	CIMMYTMA-017898	1950-01-01	7	5	182	21.544818	-98.905924	5.22249262633103	CIMMYTMA
SEEDGWAS1643	SEEDGWAS1643.MRG.4.250070578	G25934	CIMMYTMA-017932	1953-02-06	7	5	349	24.25333	-99.481609	7.85827978298972	CIMMYTMA
SEEDGWAS1644	SEEDGWAS1644.MRG.4.250070579	G25937	CIMMYTMA-017934	1953-02-06	7	5	358	24.26666667	-99.48333333	7.87099089422673	CIMMYTMA
SEEDGWAS1647	SEEDGWAS1647.MRG.4.250070582	G25968	CIMMYTMA-017953	1948-01-01	8	6	109	20.43027778	-97.382222	3.50488012343549	CIMMYTMA
SEEDGWAS1648	SEEDGWAS1648.MRG.4.250070583	G25971	CIMMYTMA-017954	1948-01-01	8	6	109	20.43027778	-97.382222	3.50488012343549	CIMMYTMA
SEEDGWAS1652	SEEDGWAS1652.MRG.4.250070588	G26483	CIMMYTMA-018869	1952-02-04	7	5	302	19.08164	-102.373599	6.65684789081777	CIMMYTMA
SEEDGWAS1653	SEEDGWAS1653.MRG.4.250070589	G26484	CIMMYTMA-018871	1952-02-04	7	5	302	19.08164	-102.373599	6.65684789081777	CIMMYTMA
SEEDGWAS1654	SEEDGWAS1654.MRG.4.250070590	G26499	CIMMYTMA-018878		7	5	952	18.71666667	-99.36666667	3.70093849348456	CIMMYTMA
SEEDGWAS1662	SEEDGWAS1662.MRG.4.250070597	G27001	CIMMYTMA-019855		7	5	963	21.83299	-99.634229	5.88553138154449	CIMMYTMA
SEEDGWAS1663	SEEDGWAS1663.MRG.4.250070598	G27033	CIMMYTMA-019956		7	5	1221	22.023366	-99.653771	6.04784840984337	CIMMYTMA
SEEDGWAS1665	SEEDGWAS1665.MRG.4.250070599	G27107	CIMMYTMA-020386	1946-01-01	7	5	24	17.53333333	-101.2833333	5.30945201923472	CIMMYTMA
SEEDGWAS167	SEEDGWAS167.MRG.4.250056129	G11549	CIMMYTMA-003253	1959-07-06	7	5	42	20.910099	-97.762003	4.0994032379755	CIMMYTMA
SEEDGWAS1673	SEEDGWAS1673.MRG.4.250062636	G27822	CIMMYTMA-023152	1948-01-01	7	5	92	19.716788	-90.046207	6.44205480840679	CIMMYTMA
SEEDGWAS1674	SEEDGWAS1674.MRG.4.250062637	G27825	CIMMYTMA-023158	1948-01-01	7	5	46	19.746176	-90.12082	6.38494122574751	CIMMYTMA
SEEDGWAS1676	SEEDGWAS1676.MRG.4.250062638	G27934	CIMMYTMA-023215	1952-01-23	7	5	95	21.426842	-98.869208	5.10429701783213	CIMMYTMA
SEEDGWAS1679	SEEDGWAS1679.MRG.4.250062639	G27961	CIMMYTMA-023230	1947-01-01	7	5	58	17.581508	-101.342386	5.37145771761168	CIMMYTMA
SEEDGWAS168	SEEDGWAS168.MRG.4.250056130	G11558	CIMMYTMA-003256	1959-07-06	7	5	27	20.893005	-97.675796	4.04720793839568	CIMMYTMA
SEEDGWAS1680	SEEDGWAS1680.MRG.4.250062640	G27968	CIMMYTMA-023233	1947-01-01	7	5	123	17.678521	-101.303874	5.34054918992391	CIMMYTMA
SEEDGWAS1681	SEEDGWAS1681.MRG.4.250062641	G27998	CIMMYTMA-023251	1952-01-24	7	5	298	21.399889	-98.712616	4.99483052719239	CIMMYTMA
SEEDGWAS1689	SEEDGWAS1689.MRG.4.250062647	G28370	CIMMYTMA-023642		7	5	150	21.26666667	-98.75	4.90478782577688	CIMMYTMA
SEEDGWAS170	SEEDGWAS170.MRG.4.250056132	G11618	CIMMYTMA-003261	1959-07-07	7	5	76	21.38333333	-97.83333333	4.55890442173948	CIMMYTMA
SEEDGWAS1704	SEEDGWAS1704.MRG.4.250062661	G28836	CIMMYTMA-024962	1968-01-01	7	5	648	22.274119	-104.469957	9.87930198190539	CIMMYTMA
SEEDGWAS171	SEEDGWAS171.MRG.4.250056133	G11628	CIMMYTMA-003263	1959-07-07	7	5	22	21.28333333	-97.51666667	4.34613474056101	CIMMYTMA
SEEDGWAS1711	SEEDGWAS1711.MRG.4.250062668	G28891	CIMMYTMA-025067	1952-03-12	7	5	342	18.317643	-101.728267	5.84947987576092	CIMMYTMA
SEEDGWAS1715	SEEDGWAS1715.MRG.4.250062672	G28967	CIMMYTMA-025225		7	5	422	19.697393	-104.612035	8.97822363788517	CIMMYTMA
SEEDGWAS1716	SEEDGWAS1716.MRG.4.250062673	G28968	CIMMYTMA-025226		7	5	422	19.697393	-104.612035	8.97822363788517	CIMMYTMA
SEEDGWAS1723	SEEDGWAS1723.MRG.4.250062679	G29071	CIMMYTMA-025306	1977-01-01	7	5	993	17.528084	-96.831814	0.9038255115065	CIMMYTMA
SEEDGWAS1725	SEEDGWAS1725.MRG.4.250062681	G29095	CIMMYTMA-025311	1977-01-01	7	5	1341	17.16	-95.78	0.211081637709206	CIMMYTMA
SEEDGWAS1726	SEEDGWAS1726.MRG.4.250062682	G29097	CIMMYTMA-025312	1977-01-01	7	5	1341	17.16	-95.78	0.211081637709206	CIMMYTMA
SEEDGWAS1727	SEEDGWAS1727.MRG.4.250062683	G29099	CIMMYTMA-025313	1977-01-01	7	5	1341	17.16	-95.78	0.211081637709206	CIMMYTMA
SEEDGWAS1728	SEEDGWAS1728.MRG.4.250062684	G29102	CIMMYTMA-025314	1977-01-01	7	5	1341	17.16	-95.78	0.211081637709206	CIMMYTMA
SEEDGWAS173	SEEDGWAS173.MRG.4.250056135	G11635	CIMMYTMA-003268	1959-07-09	7	5	125	21.35	-97.71666667	4.48206283985897	CIMMYTMA
SEEDGWAS1736	SEEDGWAS1736.MRG.4.250062690	G29290	CIMMYTMA-025807	1951-01-01	7	5	15	21.82	-105.2	10.3023116482554	CIMMYTMA
SEEDGWAS1737	SEEDGWAS1737.MRG.4.250062691	G29292	CIMMYTMA-025808	1951-01-01	7	5	15	21.82	-105.2	10.3023116482554	CIMMYTMA
SEEDGWAS1739	SEEDGWAS1739.MRG.4.250062692	G29314	CIMMYTMA-025813	1951-01-01	7	5	15	21.82	-105.2	10.3023116482554	CIMMYTMA
SEEDGWAS174	SEEDGWAS174.MRG.4.250056136	G11675	CIMMYTMA-003271	1959-07-09	8	6	27	20.062451	-96.710604	2.93724525399174	CIMMYTMA
SEEDGWAS1741	SEEDGWAS1741.MRG.4.250062694	G29339	CIMMYTMA-025818	1974-01-01	8	6	1043	20.007577	-97.52396	3.18790059149105	CIMMYTMA
